"","country","Region","year","population","life","gdp"
"327","Sudan","Sub-Saharan Africa","1810",4047408,31.4,519
"328","Suriname","America","1810",80721,32.9,1639
"329","Swaziland","Sub-Saharan Africa","1810",86000,32.3,490
"330","Sweden","Europe & Central Asia","1810",2428185,31.99,1368
"331","Switzerland","Europe & Central Asia","1810",1904962,38,2705
"332","Syria","Middle East & North Africa","1810",1337000,31.1,1083
"333","Tajikistan","Europe & Central Asia","1810",466629,24.235,558
"334","Tanzania","Sub-Saharan Africa","1810",3019768,32.2,563
"335","Thailand","East Asia & Pacific","1810",4665000,30.4,933
"336","Timor-Leste","East Asia & Pacific","1810",137262,28.949,531
"337","Togo","Sub-Saharan Africa","1810",445985,31.3,683
"338","Tonga","East Asia & Pacific","1810",18621,28.2,664
"339","Trinidad and Tobago","America","1810",60000,32.9,1232
"340","Tunisia","Middle East & North Africa","1810",868499,28.8,717
"341","Turkey","Europe & Central Asia","1810",9923007,35,1223
"342","Turkmenistan","Europe & Central Asia","1810",367215,24,954
"343","Uganda","Sub-Saharan Africa","1810",2101397,25.3,464
"344","Ukraine","Europe & Central Asia","1810",11215490,36.6,772
"345","United Arab Emirates","Middle East & North Africa","1810",40153,30.7,1036
"346","United Kingdom","Europe & Central Asia","1810",14106058,38.3473814418488,3575
"347","United States","America","1810",8294928,39.41,2283
"348","Uruguay","America","1810",55000,32.9,1761
"349","Uzbekistan","Europe & Central Asia","1810",1919159,26.926,503
"350","Vanuatu","East Asia & Pacific","1810",27791,24.3,586
"351","Venezuela","America","1810",718000,32.2,683
"352","West Bank and Gaza","Middle East & North Africa","1810",165944,32.1,1222
"353","Vietnam","East Asia & Pacific","1810",6551000,32,862
"354","Zambia","Sub-Saharan Africa","1810",747000,32.6,680
"355","Zimbabwe","Sub-Saharan Africa","1810",1085814,33.7,879
"356","South Sudan","Sub-Saharan Africa","1810",1041076,26.665,508
"357","Afghanistan","South Asia","1820",3323519,28.0060666666667,604
"358","Albania","Europe & Central Asia","1820",438671,35.4,669
"359","Algeria","Middle East & North Africa","1820",2713079,28.8224,735
"360","Angola","Sub-Saharan Africa","1820",1597530,26.98,674
"361","Antigua and Barbuda","America","1820",37000,33.536,759
"362","Argentina","America","1820",570719,33.2,1512
"363","Armenia","Europe & Central Asia","1820",423527,33.995,515
"364","Aruba","America","1820",19555,34.419,835
"365","Australia","East Asia & Pacific","1820",334002,34.05,853
"366","Austria","Europe & Central Asia","1820",3391206,34.4,2003
"367","Azerbaijan","Europe & Central Asia","1820",901772,29.165,779
"368","Bahamas","America","1820",27404,35.179,1449
"369","Bahrain","Middle East & North Africa","1820",64474,30.3,1346
"370","Bangladesh","South Asia","1820",20122865,25.5,874
"371","Barbados","America","1820",85456,32.124,916
"372","Belarus","Europe & Central Asia","1820",2413420,36.2,614
"373","Belgium","Europe & Central Asia","1820",3475782,40.1609756097561,2420
"374","Belize","America","1820",25556,26.5,580
"375","Benin","Sub-Saharan Africa","1820",653348,31,598
"376","Bhutan","South Asia","1820",91144,28.799,631
"377","Bolivia","America","1820",1121924,33,856
"378","Bosnia and Herzegovina","Europe & Central Asia","1820",871970,35.1,671
"379","Botswana","Sub-Saharan Africa","1820",121000,33.6,398
"380","Brazil","America","1820",4582325,31.9961333333334,1112
"381","Brunei","East Asia & Pacific","1820",2251,29.2,1516
"382","Bulgaria","Europe & Central Asia","1820",2186672,36.6799999999999,1092
"383","Burkina Faso","Sub-Saharan Africa","1820",1697947,29.2,481
"384","Burundi","Sub-Saharan Africa","1820",917804,31.5,426
"385","Cambodia","East Asia & Pacific","1820",2102468,35,906
"386","Cameroon","Sub-Saharan Africa","1820",1874663,28.75,628
"387","Canada","America","1820",879432,39.029935483871,1491
"388","Cape Verde","Sub-Saharan Africa","1820",57062,33.8,531
"389","Chad","Sub-Saharan Africa","1820",1432000,30.9,419
"390","Chile","America","1820",820889,32,1029
"391","China","East Asia & Pacific","1820",380055273,32,985
"392","Colombia","America","1820",1266351,32,966
"393","Comoros","Sub-Saharan Africa","1820",57537,32.1,710
"394","Congo, Dem. Rep.","Sub-Saharan Africa","1820",5255223,31.6,526
"395","Congo, Rep.","Sub-Saharan Africa","1820",320596,32.7,608
"396","Costa Rica","America","1820",63375,30.2147,777
"397","Cote d'Ivoire","Sub-Saharan Africa","1820",1108345,31.156,880
"398","Croatia","Europe & Central Asia","1820",1257048,36.1,1350
"399","Cuba","America","1820",607664,35.04,1090
"400","Cyprus","Europe & Central Asia","1820",184788,38.5025263157894,856
"401","Denmark","Europe & Central Asia","1820",1177749,43.1434112032774,2089
"402","Djibouti","Middle East & North Africa","1820",23320,29.9,801
"403","Ecuador","America","1820",522656,32.9,531
"404","Egypt","Middle East & North Africa","1820",4318788,33,793
"405","El Salvador","America","1820",256823,28.7,977
"406","Equatorial Guinea","Sub-Saharan Africa","1820",81084,29.8,365
