"","year","make","model","vclass","displ","tran","cyl","drive","fueltype","tcharger","scharger","guzzler","cty","hwy","cmb","pv","lv","country","z"
"2461",2011,"bmw","M3 Sedan","Compact Cars",4,"Manual 6-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,14,20,16,93,12,"Germany","Compact Cars"
"2462",2011,"bmw","M3 Sedan","Compact Cars",4,"Automatic (S7)","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,14,20,16,93,12,"Germany","Compact Cars"
"2463",2011,"mercedes-benz","CLS63 AMG","Compact Cars",6.3,"Automatic 7-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,12,18,14,93,13,"Germany","Compact Cars"
"2464",2011,"bmw","528i","Midsize Cars",3,"Automatic (S8)","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,22,32,25,102,14,"Germany","Midsize Cars"
"2465",2011,"bmw","535i","Midsize Cars",3,"Manual 6-spd","6","Rear-Wheel Drive","Premium",TRUE,FALSE,FALSE,19,28,22,102,14,"Germany","Midsize Cars"
"2466",2011,"bmw","550i","Midsize Cars",4.4,"Manual 6-spd","8","Rear-Wheel Drive","Premium",TRUE,FALSE,FALSE,15,22,17,102,14,"Germany","Midsize Cars"
"2467",2011,"bmw","550i","Midsize Cars",4.4,"Automatic (S8)","8","Rear-Wheel Drive","Premium",TRUE,FALSE,FALSE,17,25,20,102,14,"Germany","Midsize Cars"
"2468",2011,"bmw","ActiveHybrid 7i","Midsize Cars",4.4,"Automatic (S8)","8","Rear-Wheel Drive","Premium",TRUE,FALSE,FALSE,17,24,20,106,13,"Germany","Midsize Cars"
"2469",2011,"infiniti","M37","Midsize Cars",3.7,"Automatic (S7)","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,18,26,21,104,15,"Japan","Midsize Cars"
"2470",2011,"infiniti","M37x","Midsize Cars",3.7,"Automatic (S7)","6","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,24,20,104,15,"Japan","Midsize Cars"
"2471",2011,"infiniti","M56","Midsize Cars",5.6,"Automatic (S7)","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,25,19,104,15,"Japan","Midsize Cars"
"2472",2011,"infiniti","M56x","Midsize Cars",5.6,"Automatic (S7)","8","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,23,18,104,15,"Japan","Midsize Cars"
"2473",2011,"jaguar","XF","Midsize Cars",5,"Automatic (S6)","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,23,19,95,18,"Britain","Midsize Cars"
"2474",2011,"jaguar","XF","Midsize Cars",5,"Automatic (S6)","8","Rear-Wheel Drive","Premium",FALSE,TRUE,FALSE,15,21,17,95,18,"Britain","Midsize Cars"
"2475",2011,"bmw","740i","Large Cars",3,"Automatic (S6)","6","Rear-Wheel Drive","Premium",TRUE,FALSE,FALSE,17,25,20,106,14,"Germany","Large Cars"
"2476",2011,"bmw","740Li","Large Cars",3,"Automatic (S6)","6","Rear-Wheel Drive","Premium",TRUE,FALSE,FALSE,17,25,20,115,14,"Germany","Large Cars"
"2477",2011,"bmw","750i","Large Cars",4.4,"Automatic (S6)","8","Rear-Wheel Drive","Premium",TRUE,FALSE,TRUE,15,22,17,106,14,"Germany","Large Cars"
"2478",2011,"bmw","750i xDrive","Large Cars",4.4,"Automatic (S6)","8","All-Wheel Drive","Premium",TRUE,FALSE,TRUE,14,20,16,106,14,"Germany","Large Cars"
"2479",2011,"bmw","750Li xDrive","Large Cars",4.4,"Automatic (S6)","8","All-Wheel Drive","Premium",TRUE,FALSE,TRUE,14,20,16,115,14,"Germany","Large Cars"
"2480",2011,"bmw","ActiveHybrid 7Li","Large Cars",4.4,"Automatic (S8)","8","Rear-Wheel Drive","Premium",TRUE,FALSE,FALSE,17,24,20,115,13,"Germany","Large Cars"
"2481",2011,"bmw","Alpina B7 LWB xDrive","Large Cars",4.4,"Automatic (S6)","8","All-Wheel Drive","Premium",TRUE,FALSE,TRUE,14,20,16,115,14,"Germany","Large Cars"
"2482",2011,"bmw","Alpina B7 SWB xDrive","Large Cars",4.4,"Automatic (S6)","8","All-Wheel Drive","Premium",TRUE,FALSE,TRUE,14,20,16,106,14,"Germany","Large Cars"
